gene_id	gene_short_name	halflife_160412_r1	halflife_160412_r2
Q0017	Q0017	NA	NA
Q0032	Q0032	NA	NA
Q0045	COX1	NA	NA
Q0050	AI1	2.338117416	NA
Q0055	AI2	2.897261993	NA
Q0060	AI3	NA	NA
Q0065	AI4	NA	NA
Q0070	AI5_ALPHA	NA	NA
Q0080	ATP8	NA	NA
Q0085	ATP6	NA	NA
Q0092	Q0092	NA	NA
Q0105	COB	NA	NA
Q0110	BI2	NA	NA
Q0115	BI3	NA	NA
Q0120	BI4	NA	NA
Q0130	OLI1	NA	NA
Q0140	VAR1	NA	NA
Q0142	Q0142	NA	NA
Q0143	Q0143	NA	NA
Q0144	Q0144	NA	NA
Q0160	SCEI	NA	NA
Q0182	Q0182	NA	NA
Q0250	COX2	NA	NA
Q0255	Q0255	NA	NA
Q0275	COX3	NA	NA
Q0297	Q0297	NA	NA
YAL001C	TFC3	2.181523694	3.684343655
YAL002W	VPS8	1.178027985	2.961709225
YAL003W	EFB1	11.18608171	9.907054443
YAL004W	YAL004W	NA	NA
YAL005C	SSA1	12.8259408	10.32696441
YAL007C	ERP2	6.598594898	8.545176759
YAL008W	FUN14	6.434048319	6.819250635
YAL009W	SPO7	5.442857811	3.298198763
YAL010C	MDM10	3.189184694	4.085066503
YAL011W	SWC3	1.20265666	NA
YAL012W	CYS3	9.106292139	10.51147941
YAL013W	DEP1	3.807493935	5.228573389
YAL014C	SYN8	4.647318175	4.307433112
YAL015C	NTG1	7.099147448	7.597605807
YAL016C-A	YAL016C-A	6.413414773	5.299052269
YAL016C-B	YAL016C-B	NA	NA
YAL016W	TPD3	4.349575186	4.615896254
YAL017W	PSK1	3.177581933	5.033386056
YAL018C	YAL018C	NA	NA
YAL019W	FUN30	3.171852311	2.928784022
YAL019W-A	YAL019W-A	4.978495816	7.06608371
YAL020C	ATS1	9.626586423	8.285327353
YAL021C	CCR4	3.694627524	4.547902922
YAL022C	FUN26	4.475809708	4.68813895
YAL023C	PMT2	5.451380674	5.642097312
YAL024C	LTE1	2.014642404	1.705355071
YAL025C	MAK16	2.40954292	2.330872008
YAL026C	DRS2	3.724661135	4.167869896
YAL026C-A	YAL026C-A	4.349425479	5.76677021
YAL027W	SAW1	1.961938417	3.113013226
YAL028W	FRT2	NA	NA
YAL029C	MYO4	2.317196552	3.530256674
YAL030W	SNC1	7.219659393	12.79573408
YAL031C	GIP4	2.040032326	3.327347152
YAL031W-A	YAL031W-A	2.531041951	NA
YAL032C	PRP45	3.086048859	2.702661842
YAL033W	POP5	6.032971501	5.906018792
YAL034C	FUN19	NA	1.54082241
YAL034C-B	YAL034C-B	NA	NA
YAL034W-A	MTW1	1.428679233	3.163220703
YAL035W	FUN12	8.927230421	8.569626084
YAL036C	RBG1	5.583389403	5.29752278
